k,rg,layer,Best/Test/bpd,train_time,seed
256,PD,cp,1.375902176,402.5769958,7331
512,PD,cp,1.372717023,1304.542236,7331
16,PD,cp-shared,1.388631344,255.7539978,7331
32,PD,cp-shared,1.383676767,466.4116211,7331
64,PD,cp-shared,1.38585043,381.6517029,7331
128,PD,cp-shared,1.388335824,430.145752,7331
256,PD,cp-shared,1.385956168,474.0544128,7331
512,PD,cp-shared,1.385686755,731.3054199,7331
16,PD,tucker,1.382581472,320.4459534,7331
32,PD,tucker,1.373093367,418.6127625,7331
64,PD,tucker,1.373277068,797.6210327,7331
16,QG,cp,1.247544169,1161.356934,7331
32,QG,cp,1.214219928,1145.597046,7331
64,QG,cp,1.19059217,1522.283203,7331
128,QG,cp,1.178794622,1570.107422,7331
256,QG,cp,1.175071597,1715.963379,7331
512,QG,cp,1.184610605,3402.754639,7331
16,QG,cp-shared,1.377137661,836.7553101,7331
32,QG,cp-shared,1.335254908,1784.959595,7331
64,QG,cp-shared,1.270783305,1753.318726,7331
128,QG,cp-shared,1.242598534,1246.751587,7331
256,QG,cp-shared,1.22834897,1611.678223,7331
512,QG,cp-shared,1.203466177,3172.394775,7331
16,QG,tucker,1.233722925,3106.056641,7331
32,QG,tucker,1.229851127,3373.20166,7331
64,QG,tucker,1.260171056,3536.283447,7331
16,RQT,cp,1.285379767,205.3986206,7331
32,RQT,cp,1.242298245,268.4871521,7331
64,RQT,cp,1.216780663,343.1619568,7331
128,RQT,cp,1.195937157,393.0840454,7331
256,RQT,cp,1.183982134,511.1251831,7331
512,RQT,cp,1.175779462,870.425293,7331
16,RQT,cp-shared,1.397714257,238.1920471,7331
32,RQT,cp-shared,1.341789246,324.7776489,7331
64,RQT,cp-shared,1.291480064,242.6913452,7331
128,RQT,cp-shared,1.277560472,309.2466125,7331
256,RQT,cp-shared,1.236078858,453.6900024,7331
512,RQT,cp-shared,1.22234869,787.3947144,7331
128.0,PD,cp-shared-new,1.3932675123214722,412.4487609863281,42.0
128.0,PD,cp-shared-new,1.394734501838684,415.2329406738281,13.0
128.0,PD,cp-shared-new,1.3932876586914062,414.59088134765625,1337.0
128.0,PD,cp-shared-new,1.3905656337738037,416.0056457519531,17.0
128.0,PD,cp-shared-new,1.395652174949646,414.7787170410156,7331.0
16.0,PD,cp-shared-new,1.392021656036377,276.4123229980469,42.0
16.0,PD,cp-shared-new,1.3898736238479614,323.150634765625,17.0
16.0,PD,cp-shared-new,1.3891310691833496,295.6766967773437,7331.0
16.0,PD,cp-shared-new,1.393959641456604,251.10247802734372,1337.0
16.0,PD,cp-shared-new,1.3948949575424194,248.83778381347656,13.0
256.0,PD,cp-shared-new,1.3972809314727783,526.0372314453125,42.0
256.0,PD,cp-shared-new,1.3955172300338743,523.3869018554688,17.0
256.0,PD,cp-shared-new,1.3924978971481323,525.4833984375,13.0
256.0,PD,cp-shared-new,1.3933626413345337,525.224853515625,1337.0
256.0,PD,cp-shared-new,1.3896987438201904,526.2921752929688,7331.0
32.0,PD,cp-shared-new,1.3889057636260986,367.9208068847656,42.0
32.0,PD,cp-shared-new,1.3896851539611816,329.0483093261719,17.0
32.0,PD,cp-shared-new,1.386688470840454,368.9503479003906,13.0
32.0,PD,cp-shared-new,1.3845419883728027,372.0948791503906,1337.0
32.0,PD,cp-shared-new,1.383447766304016,374.0939331054688,7331.0
512.0,PD,cp-shared-new,1.388413429260254,907.406005859375,42.0
512.0,PD,cp-shared-new,1.3893470764160156,904.3657836914062,13.0
512.0,PD,cp-shared-new,1.3895982503890991,909.9695434570312,17.0
512.0,PD,cp-shared-new,1.3958642482757568,911.9205932617188,1337.0
512.0,PD,cp-shared-new,1.38634192943573,905.4443969726562,7331.0
64.0,PD,cp-shared-new,1.3923075199127195,325.2587890625,42.0
64.0,PD,cp-shared-new,1.3856805562973022,367.0056762695313,13.0
64.0,PD,cp-shared-new,1.384440541267395,373.3153991699219,17.0
64.0,PD,cp-shared-new,1.3874118328094482,368.7792053222656,7331.0
64.0,PD,cp-shared-new,1.3859509229660034,372.39654541015625,1337.0
128.0,QG,cp-shared-new,1.26558256149292,1528.376708984375,42.0
128.0,QG,cp-shared-new,1.264122486114502,1484.65380859375,13.0
128.0,QG,cp-shared-new,1.2659021615982056,1334.9423828125,1337.0
128.0,QG,cp-shared-new,1.263616919517517,1461.81103515625,17.0
128.0,QG,cp-shared-new,1.266374588012695,1290.687255859375,7331.0
16.0,QG,cp-shared-new,1.3458518981933594,889.7989501953125,42.0
16.0,QG,cp-shared-new,1.341046690940857,920.5953979492188,13.0
16.0,QG,cp-shared-new,1.3487943410873413,909.4522705078124,17.0
16.0,QG,cp-shared-new,1.34490168094635,774.2274780273438,1337.0
16.0,QG,cp-shared-new,1.3491103649139404,786.1116943359375,7331.0
256.0,QG,cp-shared-new,1.2419222593307495,2094.844970703125,42.0
256.0,QG,cp-shared-new,1.2442744970321655,2394.0634765625,17.0
256.0,QG,cp-shared-new,1.2438441514968872,2334.745361328125,13.0
256.0,QG,cp-shared-new,1.2447386980056765,2195.6337890625,1337.0
256.0,QG,cp-shared-new,1.2429051399230957,2235.5595703125,7331.0
32.0,QG,cp-shared-new,1.317266583442688,1138.64111328125,42.0
32.0,QG,cp-shared-new,1.3159838914871216,1243.90478515625,17.0
32.0,QG,cp-shared-new,1.315981149673462,1397.0377197265625,13.0
32.0,QG,cp-shared-new,1.3188124895095823,1105.197509765625,1337.0
32.0,QG,cp-shared-new,1.3151750564575195,1568.3768310546875,7331.0
512.0,QG,cp-shared-new,1.2239323854446411,4242.54931640625,42.0
512.0,QG,cp-shared-new,1.2265664339065552,3961.24462890625,13.0
512.0,QG,cp-shared-new,1.2239450216293335,3966.486572265625,17.0
512.0,QG,cp-shared-new,1.223297953605652,3859.9482421875,1337.0
512.0,QG,cp-shared-new,1.2254583835601809,3973.3271484375,7331.0
64.0,QG,cp-shared-new,1.2874658107757568,1284.02685546875,42.0
64.0,QG,cp-shared-new,1.2886614799499512,1310.9869384765625,13.0
64.0,QG,cp-shared-new,1.28845477104187,1141.952880859375,17.0
64.0,QG,cp-shared-new,1.2888388633728027,1194.404541015625,7331.0
64.0,QG,cp-shared-new,1.290667176246643,1370.6346435546875,1337.0
128.0,RQT,cp-shared-new,1.2831634283065796,325.3809814453125,42.0
128.0,RQT,cp-shared-new,1.2836098670959473,359.9192199707031,13.0
128.0,RQT,cp-shared-new,1.2836241722106934,358.62615966796875,17.0
128.0,RQT,cp-shared-new,1.2839313745498655,385.0613403320313,7331.0
128.0,RQT,cp-shared-new,1.285008668899536,432.47369384765625,1337.0
